Model,Dataset,nDCG@10,MRR@10,P@10,R@100,R@1k,Avg_FLOPS,Avg_Doc_Sparsity,nDCG@10_Hybrid,MRR@10_Hybrid
bm25_baseline,arguana,0.49376,0.4033,0.07902,0.96373,0.98862,,,,
bm25_baseline,fiqa,0.22589,0.27598,0.06435,0.53732,0.75078,,,,
bm25_baseline,nfcorpus,0.31295,0.5203,0.23189,0.24811,0.46529,,,,
bm25_baseline,scidocs,0.15341,0.26933,0.079,0.35545,0.56297,,,,
bm25_baseline,scifact,0.6791,0.64051,0.09,0.91589,0.96833,,,,
bm25_baseline,trec-covid,0.61418,0.88194,0.656,0.11303,0.43275,,,,
bm25_baseline,webis-touche2020,0.32384,0.62942,0.2898,0.52305,0.85498,,,,
splade_base,arguana,0.42056,0.3352,0.0702,0.94452,0.99147,25.95091206335639,175.5890016140189,,
splade_base,fiqa,0.29317,0.35212,0.07963,0.5777,0.7918,4.024764103457124,128.27832332835976,,
splade_base,nfcorpus,0.32592,0.5467,0.23406,0.26698,0.53161,2.550901224499535,209.1266171208368,,
splade_base,scidocs,0.14957,0.27102,0.0764,0.35048,0.57093,3.8549439529173326,157.69240363253692,,
splade_base,scifact,0.64054,0.6158,0.08467,0.902,0.98333,10.719311852852274,208.54042060582677,,
splade_base,trec-covid,0.64604,0.82233,0.714,0.11528,0.39583,5.12843391777368,162.94460462727338,,
splade_base,webis-touche2020,0.2026,0.3645,0.19796,0.4553,0.80526,3.851904951291578,141.37116417676353,,
splade_cocondenser_ensembledistil,arguana,0.50761,0.4192,0.07987,0.9808,0.99644,24.697382114466443,213.95284759050037,0.53294,0.44307
splade_cocondenser_ensembledistil,fiqa,0.35587,0.42634,0.09522,0.63632,0.83917,8.217519873934334,167.06806273638918,0.31543,0.37972
splade_cocondenser_ensembledistil,nfcorpus,0.35249,0.57114,0.25232,0.28914,0.60055,4.656619447292151,206.21387283236996,0.34794,0.5716
splade_cocondenser_ensembledistil,scidocs,0.15806,0.28201,0.0806,0.37397,0.6006,10.58510885918073,188.3670343376077,0.16623,0.28919
splade_cocondenser_ensembledistil,scifact,0.70791,0.67883,0.093,0.94867,0.98667,11.97883786738697,207.45070422535213,0.72015,0.68642
splade_cocondenser_ensembledistil,trec-covid,0.72536,0.90667,0.79,0.1305,0.46076,11.757812667802863,177.41427754301588,0.7441,0.91733
splade_cocondenser_ensembledistil,webis-touche2020,0.27261,0.45363,0.26327,0.48736,0.82244,7.320573249885768,184.0320642015972,0.34544,0.60909
splade_cocondenser_selfdistil,arguana,0.49264,0.40365,0.07845,0.98222,0.99573,34.64610511753213,260.44397048651143,0.51787,0.4273
splade_cocondenser_selfdistil,fiqa,0.36168,0.43527,0.09506,0.63923,0.83867,12.53525387700758,199.41448350046844,0.31641,0.38068
splade_cocondenser_selfdistil,nfcorpus,0.3545,0.5711,0.25511,0.28894,0.61578,7.014401866618263,255.4024222405725,0.34931,0.57016
splade_cocondenser_selfdistil,scidocs,0.16038,0.28548,0.0818,0.37502,0.60807,16.885473282145224,235.67919086409168,0.16797,0.29214
splade_cocondenser_selfdistil,scifact,0.7152,0.68393,0.09467,0.93867,0.99267,16.51136857675735,259.0673355199691,0.72172,0.6886
splade_cocondenser_selfdistil,trec-covid,0.72458,0.945,0.788,0.12806,0.45433,15.5841524058553,217.4712838232204,0.74372,0.91833
splade_cocondenser_selfdistil,webis-touche2020,0.24792,0.44453,0.22653,0.51321,0.85189,10.764835882986688,226.9103948555072,0.34548,0.5642
splade_distil,arguana,0.44932,0.36465,0.07283,0.96728,0.99644,72.30262657716149,446.4284067327646,,
splade_distil,fiqa,0.34133,0.41271,0.09198,0.62219,0.81663,11.39317037392598,329.2739165134113,,
splade_distil,nfcorpus,0.34273,0.54971,0.24582,0.28171,0.55595,7.8157268383471425,412.59510046793287,,
splade_distil,scidocs,0.15511,0.27646,0.08,0.36487,0.59375,15.656156604435436,403.1644385547804,,
splade_distil,scifact,0.70296,0.67984,0.09133,0.93033,0.98,27.468110489420543,420.1331275323172,,
splade_distil,trec-covid,0.70415,0.88333,0.752,0.12663,0.42942,13.2147375855065,332.4285539187076,,
splade_distil,webis-touche2020,0.28328,0.53288,0.26122,0.49772,0.85248,10.178760935421495,339.68913722568584,,
